date,name,close,per,pbr,dividendYield
2015-03-16,코스피,1987.33,17.74,1.15,1.09
2015-03-17,코스피,2029.91,18.12,1.18,1.06
2015-03-18,코스피,2028.45,18.11,1.18,1.06
2015-03-19,코스피,2037.89,18.2,1.18,1.06
2015-03-20,코스피,2037.24,18.12,1.19,1.06
2015-03-23,코스피,2036.59,16.98,1.19,1.06
2015-03-24,코스피,2041.37,17.15,1.19,1.06
2015-03-25,코스피,2042.81,17.17,1.19,1.06
2015-03-26,코스피,2022.56,16.99,1.18,1.07
2015-03-27,코스피,2019.8,16.97,1.18,1.07
2015-03-30,코스피,2030.04,16.89,1.18,1.07
2015-03-31,코스피,2041.03,16.98,1.19,1.06
2015-04-01,코스피,2028.45,16.88,1.18,1.07
2015-04-02,코스피,2029.07,16.88,1.18,1.07
2015-04-03,코스피,2045.42,17.03,1.19,1.06
2015-04-06,코스피,2046.43,17.04,1.19,1.06
2015-04-07,코스피,2047.03,17.05,1.19,1.06
2015-04-08,코스피,2059.26,17.15,1.2,1.05
2015-04-09,코스피,2058.87,17.15,1.2,1.05
2015-04-10,코스피,2087.76,17.39,1.22,1.04
2015-04-13,코스피,2098.92,17.48,1.22,1.03
2015-04-14,코스피,2111.72,17.59,1.23,1.02
2015-04-15,코스피,2119.96,17.66,1.24,1.02
2015-04-16,코스피,2139.9,17.83,1.25,1.01
2015-04-17,코스피,2143.5,17.86,1.25,1.01
2015-04-20,코스피,2146.71,17.88,1.25,1.01
2015-04-21,코스피,2144.79,17.88,1.25,1.01
2015-04-22,코스피,2143.89,17.87,1.25,1.01
2015-04-23,코스피,2173.41,18.12,1.27,1.0
2015-04-24,코스피,2159.8,18.01,1.26,1.0
2015-04-27,코스피,2157.54,17.99,1.26,1.0
2015-04-28,코스피,2147.67,17.9,1.25,1.01
2015-04-29,코스피,2142.63,17.86,1.25,1.01
2015-04-30,코스피,2127.17,17.73,1.24,1.02
2015-05-04,코스피,2132.23,17.77,1.24,1.02
2015-05-06,코스피,2104.58,17.14,1.16,1.26
2015-05-07,코스피,2091.0,17.03,1.15,1.26
2015-05-08,코스피,2085.52,16.99,1.15,1.27
2015-05-11,코스피,2097.38,17.09,1.16,1.26
2015-05-12,코스피,2096.77,17.07,1.15,1.26
2015-05-13,코스피,2114.16,17.21,1.16,1.25
2015-05-14,코스피,2120.33,17.26,1.17,1.25
2015-05-15,코스피,2106.5,17.15,1.16,1.26
2015-05-18,코스피,2113.72,17.21,1.16,1.25
2015-05-19,코스피,2120.85,17.27,1.17,1.25
2015-05-20,코스피,2139.54,17.42,1.18,1.24
2015-05-21,코스피,2122.81,17.29,1.17,1.25
2015-05-22,코스피,2146.1,17.48,1.18,1.23
2015-05-26,코스피,2143.5,17.46,1.18,1.23
2015-05-27,코스피,2107.5,17.16,1.16,1.25
2015-05-28,코스피,2110.89,17.19,1.16,1.25
2015-05-29,코스피,2114.8,17.23,1.17,1.25
2015-06-01,코스피,2102.37,17.12,1.16,1.26
2015-06-02,코스피,2078.64,16.93,1.15,1.27
2015-06-03,코스피,2063.16,16.81,1.14,1.28
2015-06-04,코스피,2072.86,16.88,1.14,1.28
2015-06-05,코스피,2068.1,16.85,1.14,1.28
2015-06-08,코스피,2065.19,16.82,1.14,1.28
2015-06-09,코스피,2064.03,16.82,1.14,1.28
2015-06-10,코스피,2051.32,16.71,1.13,1.29
2015-06-11,코스피,2056.61,16.75,1.13,1.29
2015-06-12,코스피,2052.17,16.72,1.13,1.29
